[2025-06-27 14:42:18] Allowed: Ether / Dot1Q / IP / UDP 113.173.32.113:59642 > 192.168.1.172:51166 / Raw | Reason: Rule Passed
[2025-06-27 14:42:18] Allowed: Ether / IP / UDP 192.168.1.172:51166 > 113.173.32.113:59642 / Raw | Reason: Rule Passed
[2025-06-27 14:42:18] Allowed: Ether / Dot1Q / IP / UDP 113.173.32.113:59642 > 192.168.1.172:51166 / Raw | Reason: Rule Passed
[2025-06-27 14:42:18] Allowed: Ether / Dot1Q / IP / UDP 113.173.32.113:59642 > 192.168.1.172:51166 / Raw | Reason: Rule Passed
[2025-06-27 14:42:18] Allowed: Ether / IP / UDP 192.168.1.172:51166 > 113.173.32.113:59642 / Raw | Reason: Rule Passed
[2025-06-27 14:42:18] Allowed: Ether / IP / UDP 192.168.1.172:50677 > 106.72.31.37:24605 / Raw | Reason: Rule Passed
[2025-06-27 14:42:19] Allowed: Ether / Dot1Q / IP / UDP 219.91.178.191:27154 > 192.168.1.172:54552 / Raw | Reason: Rule Passed
[2025-06-27 14:42:19] Allowed: Ether / IP / UDP 192.168.1.172:54552 > 219.91.178.191:27154 / Raw | Reason: Rule Passed
[2025-06-27 14:42:19] Allowed: Ether / IP / UDP 192.168.1.172:51166 > 113.173.32.113:59642 / Raw | Reason: Rule Passed
[2025-06-27 14:42:19] Allowed: Ether / Dot1Q / IP / UDP 106.72.31.37:24605 > 192.168.1.172:50677 / Raw | Reason: Rule Passed
[2025-06-27 14:42:19] Allowed: Ether / IP / UDP 192.168.1.172:54552 > 219.91.178.191:27154 / Raw | Reason: Rule Passed
[2025-06-27 14:42:19] Allowed: Ether / Dot1Q / IP / UDP 219.91.178.191:27154 > 192.168.1.172:54552 / Raw | Reason: Rule Passed
[2025-06-27 14:42:19] Allowed: Ether / Dot1Q / IP / UDP 113.173.32.113:59642 > 192.168.1.172:51166 / Raw | Reason: Rule Passed
[2025-06-27 14:42:20] Allowed: Ether / IP / TCP 192.168.1.172:4015 > 18.138.68.204:https PA / Raw | Reason: Rule Passed
[2025-06-27 14:42:20] Allowed: Ether / Dot1Q / IP / UDP 106.72.31.37:24605 > 192.168.1.172:50677 / Raw | Reason: Rule Passed
[2025-06-27 14:42:20] Allowed: Ether / IP / UDP 192.168.1.172:50677 > 106.72.31.37:24605 / Raw | Reason: Rule Passed
[2025-06-27 14:42:20] Allowed: Ether / IP / UDP 192.168.1.172:63002 > 74.125.250.129:19302 / Raw | Reason: Rule Passed
[2025-06-27 14:42:20] Allowed: Ether / IP / UDP 74.125.250.129:19302 > 192.168.1.172:63002 / Raw | Reason: Rule Passed
[2025-06-27 14:42:20] Allowed: Ether / IP / TCP 18.138.68.204:https > 192.168.1.172:4015 PA / Raw | Reason: Rule Passed
[2025-06-27 14:42:20] Allowed: Ether / IP / TCP 192.168.1.172:4015 > 18.138.68.204:https A | Reason: Rule Passed
[2025-06-27 14:42:20] Allowed: Ether / IP / UDP 192.168.1.172:50677 > 74.125.250.129:19302 / Raw | Reason: Rule Passed
[2025-06-27 14:42:20] Allowed: Ether / IP / UDP 74.125.250.129:19302 > 192.168.1.172:50677 / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / Dot1Q / IP / UDP 113.173.32.113:59642 > 192.168.1.172:51166 / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / IP / UDP 192.168.1.172:51166 > 113.173.32.113:59642 / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / IP / UDP 192.168.1.172:50677 > 106.72.31.37:24605 / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / IP / UDP 192.168.1.172:52057 > 172.217.170.163:https / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / IP / UDP 192.168.1.172:52057 > 172.217.170.163:https / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / IP / UDP 192.168.1.172:52057 > 172.217.170.163:https / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / IP / UDP 192.168.1.172:52057 > 172.217.170.163:https / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / IP / UDP 172.217.170.163:https > 192.168.1.172:52057 / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / IP / UDP 172.217.170.163:https > 192.168.1.172:52057 / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / IP / UDP 192.168.1.172:52057 > 172.217.170.163:https / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / Dot1Q / IP / UDP 219.91.178.191:27154 > 192.168.1.172:54552 / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / IP / UDP 192.168.1.172:54552 > 219.91.178.191:27154 / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / IP / TCP 192.168.1.172:4821 > 57.144.139.32:https PA / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / IP / UDP 172.217.170.163:https > 192.168.1.172:52057 / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / IP / UDP 192.168.1.172:52057 > 172.217.170.163:https / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / IP / UDP 192.168.1.172:51166 > 113.173.32.113:59642 / Raw | Reason: Rule Passed
[2025-06-27 14:42:21] Allowed: Ether / IP / TCP 57.144.139.32:https > 192.168.1.172:4821 A | Reason: Rule Passed
[2025-06-27 14:42:22] Allowed: Ether / IP / UDP 172.217.170.163:https > 192.168.1.172:52057 / Raw | Reason: Rule Passed
[2025-06-27 14:42:22] Allowed: Ether / IP / UDP 172.217.170.163:https > 192.168.1.172:52057 / Raw | Reason: Rule Passed
[2025-06-27 14:42:22] Allowed: Ether / IP / UDP 172.217.170.163:https > 192.168.1.172:52057 / Raw | Reason: Rule Passed
